Feature,Importance
home_pitcher_kintzbr01,7.130861837726252e-05
away_pitcher_johnser04,7.123468045376665e-05
away_team_season_LAD_2022,7.104287381582402e-05
home_team_season_SEA_2016,7.096500732723894e-05
home_team_season_KCR_2023,7.073434295254842e-05
home_team_season_MIL_2019,7.070018428679531e-05
home_team_season_DET_2017,7.05950644440064e-05
away_team_season_NYM_2018,7.055783935998703e-05
away_pitcher_kintzbr01,7.054573202607613e-05
away_team_season_PIT_2021,7.053969627277526e-05
home_pitcher_anderco01,7.045719874970581e-05
away_team_season_LAD_2021,7.03996932831542e-05
away_team_season_SFG_2018,7.013372550979016e-05
away_pitcher_danieda01,7.012749292375748e-05
home_team_season_CIN_2018,7.008091517802218e-05
home_team_season_BAL_2018,6.998734763644016e-05
away_team_season_MIL_2021,6.989507149495531e-05
home_pitcher_diazjh01,6.961696981263737e-05
away_pitcher_grayjo02,6.9565765173195e-05
away_pitcher_phillty01,6.95141511958548e-05
home_pitcher_oswalco01,6.943799376771224e-05
home_pitcher_robleha01,6.937146278366418e-05
home_team_season_TEX_2019,6.935660621643522e-05
away_team_season_BOS_2022,6.922988622107586e-05
away_pitcher_hendrky01,6.920951478395077e-05
away_team_season_TEX_2016,6.919297426697418e-05
away_team_season_ARI_2022,6.914544672793407e-05
home_team_season_HOU_2018,6.913690772119321e-05
away_pitcher_kowarja01,6.91159321890943e-05
home_team_season_LAA_2022,6.89786525395847e-05
away_team_season_MIN_2019,6.889964628640951e-05
home_pitcher_woodtr01,6.872139315470884e-05
home_pitcher_garcilu05,6.847696816633297e-05
home_team_season_SEA_2018,6.844417511333579e-05
away_team_season_ARI_2017,6.844095328153924e-05
home_team_season_NYY_2021,6.829766244483985e-05
away_team_season_TBR_2021,6.826661427770948e-05
home_pitcher_mantijo01,6.825818785162809e-05
home_pitcher_rucindr01,6.789584771795622e-05
date_2018-07-28,6.781348524299427e-05
away_team_season_KCR_2021,6.759029290261017e-05
away_team_season_LAA_2021,6.753717797748097e-05
home_team_season_MIA_2023,6.750578666090978e-05
away_team_season_NYY_2023,6.750090357383335e-05
home_pitcher_effrosc01,6.735334712505245e-05
home_team_season_HOU_2023,6.733528444645233e-05
away_team_season_TEX_2019,6.728550307176487e-05
home_pitcher_duplajo01,6.713809978544842e-05
home_team_season_SEA_2022,6.709942293210121e-05
home_team_season_NYM_2016,6.681147089206439e-05
home_team_season_MIA_2022,6.666101784157218e-05
away_team_season_SDP_2018,6.654413136769582e-05
away_pitcher_civalaa01,6.651794738474176e-05
away_team_season_CHW_2016,6.642537180676646e-05
